iter	Logloss
181	0.4082388274
182	0.4081897645
183	0.4081432016
184	0.4080183955
185	0.4079676238
186	0.4079146105
187	0.4078609002
188	0.4077483351
189	0.4076954153
190	0.4076410144
191	0.4075994221
192	0.4075543495
193	0.4075058179
194	0.4074547211
195	0.4073717482
196	0.4072811218
197	0.407233531
198	0.4071841403
199	0.4071414926
200	0.4070994844
201	0.4070574643
202	0.4070135948
203	0.4069713916
204	0.4069336053
205	0.4069010441
206	0.4068650293
207	0.4068219421
208	0.4067836913
209	0.4067434767
210	0.4067113088
211	0.4066166044
212	0.4065313833
213	0.4064949325
214	0.4064534546
215	0.4064168263
216	0.4063748158
217	0.406308724
218	0.4062744242
219	0.4062423979
220	0.4062079381
221	0.4061673519
222	0.4061348647
223	0.4060954141
224	0.4060591359
225	0.4060289959
226	0.4059959128
227	0.405960939
228	0.4059308641
229	0.4059042976
230	0.4058762391
231	0.4058510031
232	0.405819324
233	0.405790201
234	0.4057592927
235	0.4057323614
236	0.4056542764
237	0.405619647
238	0.4055766228
239	0.4055467439
240	0.4055184508
241	0.4054863689
242	0.4054162559
243	0.405383786
244	0.4053205925
245	0.4052983945
246	0.4052747339
247	0.4052458932
248	0.4052011174
249	0.4051752032
250	0.4051473247
251	0.4051239268
252	0.4050958114
253	0.4050496044
254	0.4049933029
255	0.404965937
256	0.4049402872
257	0.4049221574
258	0.4048964664
259	0.4048667526
260	0.4048416745
261	0.4048137163
262	0.4047901349
263	0.4047655616
264	0.4047398922
265	0.4047158209
266	0.4046853571
267	0.4046645145
268	0.4046154188
269	0.4045933503
270	0.4045689502
271	0.4045438522
272	0.4045187769
273	0.4044976792
274	0.4044699521
275	0.404443559
276	0.4044242386
277	0.4044003164
278	0.4043784579
279	0.4043377927
280	0.4043168938
281	0.4042700216
282	0.4042466581
283	0.4042301826
284	0.4042102454
285	0.4041904587
286	0.4041701444
287	0.4041487524
288	0.4041280708
289	0.4041071061
290	0.4040855453
291	0.4040405542
292	0.4040265734
293	0.4040053375
294	0.4039887032
295	0.403966758
296	0.403926525
297	0.4039090982
298	0.4038912156
299	0.4038750359
300	0.4038548947
301	0.4038354192
302	0.4038164221
303	0.4037952094
304	0.4037769859
305	0.4037593854
306	0.4037471565
307	0.4037076676
308	0.4036886714
309	0.4036688969
310	0.4036515758
311	0.403636725
312	0.403603243
313	0.4035898488
314	0.4035764119
315	0.4035605131
316	0.403541532
317	0.4035266182
318	0.4035112105
319	0.4034986263
320	0.4034827343
321	0.4034672518
322	0.4034523792
323	0.4034217339
324	0.4034068675
325	0.4033872923
326	0.4033763685
327	0.4033615963
328	0.4033309284
329	0.4033153319
330	0.4032993083
331	0.4032835132
332	0.4032669631
333	0.4032519443
334	0.4032378477
335	0.4032242351
336	0.4031994616
337	0.4031881515
338	0.403171553
339	0.4031599946
340	0.4031469849
341	0.4031331702
342	0.4031202477
343	0.4031099705
344	0.4030976969
345	0.4030709647
346	0.4030585089
347	0.4030454662
348	0.4030313281
349	0.4030189764
350	0.4029958589
351	0.4029817825
352	0.4029696395
353	0.4029561427
354	0.4029461043
355	0.4029229382
356	0.4029100772
357	0.4028965535
358	0.4028797376
359	0.4028692279
360	0.4028603766
361	0.4028499534
362	0.4028390563
363	0.4028239294
364	0.4028052548
365	0.4027962245
366	0.4027849906
367	0.4027731825
368	0.4027603615
369	0.4027469188
370	0.4027391017
371	0.4027299736
372	0.4027183858
373	0.4026977419
374	0.4026845208
375	0.4026711961
376	0.4026617533
377	0.4026509392
378	0.4026401926
379	0.4026309222
380	0.4026120872
381	0.4026018239
382	0.4025905642
383	0.4025806923
384	0.4025636324
385	0.4025494384
386	0.4025361807
387	0.4025267466
388	0.4025173357
389	0.4025084371
390	0.4024988944
391	0.4024855613
392	0.4024734702
393	0.4024653013
394	0.4024558513
395	0.4024398359
396	0.4024334639
397	0.402423888
398	0.4024129421
399	0.4024035522
400	0.4023943347
401	0.402385231
402	0.4023777392
403	0.4023698958
404	0.402361708
405	0.4023516456
406	0.4023430746
407	0.4023348667
408	0.4023229838
409	0.4023153989
410	0.4023048651
411	0.4022945191
412	0.4022826536
413	0.4022771646
414	0.4022695789
415	0.4022618972
416	0.4022504699
417	0.4022419423
418	0.4022326495
419	0.402223346
420	0.4022088046
421	0.4021999967
422	0.40219119
423	0.4021833013
424	0.4021737251
425	0.4021597366
426	0.4021530709
427	0.4021450929
428	0.4021369671
429	0.4021287387
430	0.402116927
431	0.4021069108
432	0.4020993663
433	0.4020889202
434	0.4020792592
435	0.4020694104
436	0.402061973
437	0.4020525694
438	0.4020450653
439	0.4020382559
440	0.4020318451
441	0.402024889
442	0.4020191744
443	0.4020134486
444	0.4020017132
445	0.4019932734
446	0.4019823456
447	0.4019760314
448	0.4019684928
449	0.4019533181
450	0.4019477832
451	0.4019389584
452	0.401927069
453	0.4019156538
454	0.4019093914
455	0.4019006953
456	0.4018947156
457	0.4018855376
458	0.4018762747
459	0.40186527
460	0.4018581505
461	0.4018525283
462	0.4018448131
463	0.4018333271
464	0.401824712
465	0.4018184616
466	0.4018126749
467	0.401807832
468	0.4018036172
469	0.4017960335
470	0.4017895401
471	0.4017806738
472	0.4017740016
473	0.4017674062
474	0.4017594944
475	0.4017531115
476	0.4017445092
477	0.4017392333
478	0.4017317749
479	0.4017187677
480	0.4017127362
481	0.4017087777
482	0.4017003863
483	0.4016950831
484	0.4016833377
485	0.4016771587
486	0.401670181
487	0.4016657106
488	0.4016586572
489	0.4016529571
490	0.4016446514
491	0.4016411251
492	0.4016329642
493	0.4016280045
494	0.401618918
495	0.4016149129
496	0.4016095112
497	0.4016055296
498	0.4015973293
499	0.4015927181
500	0.4015871055
501	0.401576969
502	0.4015710382
503	0.4015649569
504	0.401561436
505	0.4015560145
506	0.4015492334
507	0.4015405644
508	0.401533265
509	0.4015294054
510	0.4015257165
511	0.4015170626
512	0.4015113854
513	0.4015046012
514	0.4014950836
515	0.4014884077
516	0.4014810697
517	0.4014782754
518	0.401474646
519	0.401467975
520	0.4014638571
521	0.4014608116
522	0.4014541234
523	0.4014523627
524	0.4014467769
525	0.4014405866
526	0.4014346369
527	0.4014297199
528	0.4014238732
529	0.4014152598
530	0.4014099665
531	0.4014065157
532	0.4014019138
533	0.4013968447
534	0.4013934672
535	0.401388398
536	0.4013844649
537	0.4013812304
538	0.4013769828
539	0.401372585
540	0.4013651327
541	0.4013599076
542	0.4013576427
543	0.4013476664
544	0.4013434262
545	0.4013427295
546	0.4013389927
547	0.4013348726
548	0.4013294866
549	0.4013248117
550	0.4013205443
551	0.4013130898
552	0.4013074055
553	0.4012963273
554	0.4012925563
555	0.4012837919
556	0.4012801438
557	0.401274634
558	0.4012699313
559	0.4012671524
560	0.401261796
561	0.4012523721
562	0.4012446878
563	0.4012408465
564	0.4012329974
565	0.4012277167
566	0.4012235467
567	0.40122024
568	0.4012199041
569	0.401218607
570	0.4012131434
571	0.4012083538
572	0.4012009411
573	0.4011958664
574	0.4011901853
575	0.4011853969
576	0.4011847326
577	0.4011847161
578	0.4011812424
579	0.4011761335
580	0.4011759453
581	0.4011717444
582	0.4011688212
583	0.4011686057
584	0.4011656182
585	0.401157679
586	0.4011478446
587	0.4011441807
588	0.4011397637
589	0.4011353619
590	0.4011307241
591	0.4011262826
592	0.4011209493
593	0.4011205835
594	0.4011169509
595	0.401116948
596	0.4011125112
597	0.4011060756
598	0.4011010361
599	0.4010982627
600	0.4010950525
601	0.4010907374
602	0.4010828173
603	0.4010786706
604	0.4010726917
605	0.4010675636
606	0.4010628122
607	0.4010622456
608	0.4010580867
609	0.4010548918
610	0.4010537988
611	0.4010509093
612	0.4010500396
613	0.4010459269
614	0.4010422617
615	0.4010377435
616	0.4010348085
617	0.4010344884
618	0.4010297359
619	0.4010233761
620	0.4010192834
621	0.401015611
622	0.4010107564
623	0.4010082319
624	0.4010032644
625	0.4009998044
626	0.4009880551
627	0.4009840461
628	0.4009789516
629	0.4009772084
630	0.4009758677
631	0.4009701162
632	0.4009627337
633	0.4009531822
634	0.4009501372
635	0.4009500678
636	0.4009475172
637	0.4009429679
638	0.4009419653
639	0.4009403464
640	0.4009325364
641	0.4009265111
642	0.4009227114
643	0.4009209262
644	0.400920733
645	0.4009205191
646	0.4009163501
647	0.4009145695
648	0.4009088889
649	0.4009052469
650	0.4009044601
651	0.4009024848
652	0.4008986195
653	0.4008942235
654	0.4008867852
655	0.4008867228
656	0.4008807404
657	0.4008766646
658	0.4008709904
659	0.4008675422
660	0.4008660166
661	0.4008639829
662	0.4008636197
663	0.4008591022
664	0.40085873
665	0.4008518589
666	0.4008485831
667	0.4008483141
668	0.4008455418
669	0.4008418837
670	0.4008382404
671	0.400831013
672	0.4008293952
673	0.4008289884
674	0.4008289368
675	0.4008258731
676	0.4008257394
677	0.4008215123
678	0.4008164585
679	0.4008135903
680	0.4008134647
681	0.4008132101
682	0.400810908
683	0.4008107495
684	0.4008058913
685	0.4008036983
686	0.4008024189
687	0.4008004324
688	0.4007970912
689	0.4007957645
690	0.4007900764
691	0.400783178
692	0.4007753199
693	0.4007752854
694	0.4007717943
695	0.4007671213
696	0.4007652744
697	0.40076234
698	0.4007622943
699	0.4007593284
700	0.4007569819
701	0.400753541
702	0.4007489428
703	0.4007485047
704	0.4007456734
705	0.4007451296
706	0.4007415622
707	0.4007371661
708	0.4007328605
709	0.4007307613
710	0.4007281419
711	0.4007275711
712	0.4007266245
713	0.4007215429
714	0.4007211842
715	0.4007157948
716	0.4007157295
717	0.4007118092
718	0.4007095427
719	0.4007042843
720	0.4007025232
721	0.4007012108
722	0.4007002137
723	0.4007001701
724	0.4006996184
725	0.4006955081
726	0.4006901279
727	0.4006865829
728	0.4006808855
729	0.4006807887
730	0.4006779813
731	0.4006723773
732	0.4006665799
733	0.4006664562
734	0.4006617242
735	0.4006574356
736	0.400657377
737	0.4006536498
738	0.4006517214
739	0.4006517081
740	0.4006462368
741	0.4006434968
742	0.4006434177
743	0.4006412598
744	0.4006381593
745	0.4006323413
746	0.4006321676
747	0.4006321077
748	0.4006276461
749	0.4006246851
750	0.4006229137
751	0.4006195321
752	0.4006163025
753	0.4006140419
754	0.4006119852
755	0.4006086801
756	0.400608636
757	0.4006060813
758	0.4006035991
759	0.4005979682
760	0.4005963137
761	0.4005935103
762	0.4005908332
763	0.4005885574
764	0.4005884458
765	0.4005843312
766	0.4005800277
767	0.4005769168
768	0.4005766632
769	0.400573068
770	0.4005669276
771	0.4005665991
772	0.4005665377
773	0.4005640245
774	0.4005625527
775	0.4005595346
776	0.4005574458
777	0.4005536544
778	0.4005505453
779	0.4005465457
780	0.4005416432
781	0.4005351999
782	0.4005332522
783	0.4005299309
784	0.4005259687
785	0.4005251265
786	0.4005185172
787	0.4005158562
788	0.4005130242
789	0.4005116271
790	0.4005109829
791	0.4005105413
792	0.4005060736
793	0.4005059999
794	0.400502908
795	0.4004977948
796	0.400497775
797	0.4004975979
798	0.4004972961
799	0.4004934904
800	0.4004908242
801	0.4004891401
802	0.4004876577
803	0.400486016
804	0.4004812398
805	0.400476525
806	0.4004764204
807	0.4004764204
808	0.4004763563
809	0.4004734485
810	0.4004714416
811	0.4004685755
812	0.4004684591
813	0.4004647231
814	0.4004594068
815	0.4004541057
816	0.4004515494
817	0.4004515057
818	0.4004511162
819	0.4004487392
820	0.4004475919
821	0.4004454648
822	0.40043946
823	0.4004371761
824	0.4004369831
825	0.4004367979
826	0.400433114
827	0.4004328423
828	0.4004327227
829	0.4004316144
830	0.4004282465
831	0.4004246589
832	0.4004243719
833	0.4004208154
834	0.4004186345
835	0.4004173946
836	0.4004173765
837	0.4004173415
838	0.400412004
839	0.4004119559
840	0.4004118741
841	0.4004101397
842	0.4004098706
843	0.4004073785
844	0.4004070369
845	0.4004057545
846	0.4004031949
847	0.4004024109
848	0.4003998897
849	0.400397605
850	0.4003947148
851	0.4003937688
852	0.4003907485
853	0.4003906886
854	0.4003887402
855	0.4003858629
856	0.400385828
857	0.4003857843
858	0.4003856887
859	0.4003836332
860	0.4003807778
861	0.400380513
862	0.400376377
863	0.40037465
864	0.4003745774
865	0.4003696347
866	0.4003695918
867	0.4003695494
868	0.4003661644
869	0.4003649234
870	0.4003648893
871	0.4003648083
872	0.4003591657
873	0.4003580339
874	0.4003547381
875	0.4003546964
876	0.4003546064
877	0.4003496601
878	0.4003449641
879	0.4003401942
880	0.4003385867
881	0.4003345062
882	0.4003304479
883	0.4003284161
884	0.4003251739
885	0.4003216554
886	0.4003199415
887	0.4003166963
888	0.4003166962
889	0.4003106791
890	0.4003106378
891	0.4003101359
892	0.4003061091
893	0.4003019445
894	0.4003016633
895	0.4002999089
896	0.4002984008
897	0.4002947711
898	0.4002911822
899	0.4002890381
900	0.4002861292
901	0.4002809083
902	0.4002771833
903	0.4002749008
904	0.4002737093
905	0.4002691181
906	0.4002661402
907	0.4002647248
908	0.4002612111
909	0.4002597918
910	0.4002596728
911	0.4002580793
912	0.4002569793
913	0.4002517465
914	0.4002513484
915	0.4002477309
916	0.4002476805
917	0.4002472742
918	0.4002465089
919	0.4002464243
920	0.4002434491
921	0.4002384712
922	0.4002381158
923	0.4002376155
924	0.400235365
925	0.4002320196
926	0.4002311816
927	0.4002277423
928	0.4002250233
929	0.4002245166
930	0.4002210188
931	0.4002171718
932	0.4002161886
933	0.4002161872
934	0.4002121983
935	0.4002107007
936	0.4002106668
937	0.4002102136
938	0.4002098662
939	0.400209811
940	0.4002084438
941	0.4002083721
942	0.400208167
943	0.4002062348
944	0.4002043634
945	0.4002024408
946	0.4002022553
947	0.4001989415
948	0.4001989293
949	0.4001974789
950	0.4001974238
951	0.4001948374
952	0.4001941286
953	0.4001901846
954	0.4001891129
955	0.4001847659
956	0.4001846794
957	0.4001836782
958	0.4001836437
959	0.4001818158
960	0.4001817554
961	0.4001801917
962	0.4001799118
963	0.4001797975
964	0.4001748013
965	0.4001747545
966	0.4001747121
967	0.4001728522
968	0.40016909
969	0.4001690099
970	0.4001636661
971	0.4001622059
972	0.4001580854
973	0.4001579275
974	0.4001558799
975	0.40015036
976	0.4001461985
977	0.4001428176
978	0.4001427385
979	0.4001426562
980	0.4001401673
981	0.4001340617
982	0.4001325062
983	0.400132387
984	0.4001316462
985	0.4001289323
986	0.4001273989
987	0.4001243264
988	0.4001241644
989	0.4001212275
990	0.400119657
991	0.4001164001
992	0.4001163304
993	0.4001099014
994	0.4001098536
995	0.400108714
996	0.4001086839
997	0.4001064945
998	0.400103872
999	0.4001038333
